# NFAP Frequency Allocation Data
# Source: Indian Frequency Allocation Chart
# Country: India
# Last Updated: 2025-01-01
""
Band Name,Band Start Freq (Hz),Band End Freq (Hz),Allocation Start Freq (Hz),Allocation End Freq (Hz),Frequency Range (Readable),Service,Priority,Usage,Amateur Band,Level,Region Specific
MF - Medium Frequency (275 kHz - 0 MHz),275000,415000,275000,415000,275.000 kHz - 415.000 kHz,MARITIME RADIONAVIGATION,primary,Marine navigation,,Radionavigation   Ind 1,
MF - Medium Frequency (275 kHz - 0 MHz),275000,415000,275000,415000,275.000 kHz - 415.000 kHz,MARITIME,primary,Maritime,,Radionavigation   Ind 1,
MF - Medium Frequency (275 kHz - 0 MHz),275000,415000,275000,415000,275.000 kHz - 415.000 kHz,MARITIME,primary,Maritime,,Radionavigation   Ind 1,
MF - Medium Frequency (275 kHz - 0 MHz),275000,415000,275000,415000,275.000 kHz - 415.000 kHz,AERONAUTICAL RADIONAVIGATION,primary,Aircraft navigation,,Radionavigation   Ind 1,
MF - Medium Frequency (275 kHz - 0 MHz),275000,415000,275000,415000,275.000 kHz - 415.000 kHz,AERONAUTICAL MOBILE,primary,Aircraft communication,,Radionavigation   Ind 1,
MF - Medium Frequency (275 kHz - 0 MHz),275000,415000,275000,415000,275.000 kHz - 415.000 kHz,AERONAUTICAL MOBILE,primary,Aircraft communication,,Radionavigation   Ind 1,
MF - Medium Frequency (275 kHz - 0 MHz),275000,415000,275000,415000,275.000 kHz - 415.000 kHz,AERONAUTICAL MOBILE,primary,Aircraft communication,,Radionavigation   Ind 1,
MF - Medium Frequency (275 kHz - 0 MHz),275000,415000,275000,415000,275.000 kHz - 415.000 kHz,MARITIME RADIONAVIGATION,primary,Marine navigation,,Radionavigation   Ind 1,
MF - Medium Frequency (275 kHz - 0 MHz),275000,415000,275000,415000,275.000 kHz - 415.000 kHz,AERONAUTICAL MOBILE,primary,Aircraft communication,,Radionavigation,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,MARITIME MOBILE,primary,Marine communication,,ALLOCATIONS,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,MARITIME MOBILE,primary,Marine communication,,ALLOCATIONS,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,MARITIME MOBILE,primary,Marine communication,,ALLOCATIONS,
